month,platform,monthly_counts
2016-01,serverfault,9
2016-01,stackoverflow,63
2016-01,superuser,3
2016-01,unix,1
2016-02,askubuntu,5
2016-02,dba,17
2016-02,gis,2
2016-02,ja.stackoverflow,1
2016-02,ru.stackoverflow,1
2016-02,serverfault,8
2016-02,stackoverflow,81
2016-03,askubuntu,2
2016-03,dba,17
2016-03,gis,1
2016-03,pt.stackoverflow,1
2016-03,serverfault,5
2016-03,stackoverflow,102
2016-03,superuser,1
2016-04,dba,18
2016-04,ja.stackoverflow,1
2016-04,ru.stackoverflow,1
2016-04,serverfault,8
2016-04,stackoverflow,82
2016-04,unix,3
2016-05,askubuntu,5
2016-05,dba,15
2016-05,pt.stackoverflow,1
2016-05,serverfault,8
2016-05,stackoverflow,73
2016-05,superuser,1
2016-05,unix,2
2016-06,askubuntu,1
2016-06,dba,17
2016-06,es.stackoverflow,3
2016-06,serverfault,5
2016-06,stackoverflow,103
2016-06,unix,1
2016-07,askubuntu,4
2016-07,dba,15
2016-07,es.stackoverflow,1
2016-07,pt.stackoverflow,2
2016-07,ru.stackoverflow,2
2016-07,serverfault,3
2016-07,stackoverflow,82
2016-07,superuser,1
2016-08,askubuntu,7
2016-08,dba,14
2016-08,es.stackoverflow,5
2016-08,ru.stackoverflow,2
2016-08,serverfault,6
2016-08,stackoverflow,84
2016-08,unix,1
2016-09,askubuntu,4
2016-09,dba,14
2016-09,es.stackoverflow,1
2016-09,ru.stackoverflow,2
2016-09,serverfault,6
2016-09,stackoverflow,97
2016-10,askubuntu,2
2016-10,dba,22
2016-10,es.stackoverflow,1
2016-10,pt.stackoverflow,3
2016-10,ru.stackoverflow,2
2016-10,serverfault,10
2016-10,stackoverflow,92
2016-10,unix,4
2016-11,askubuntu,4
2016-11,dba,14
2016-11,es.stackoverflow,3
2016-11,ru.stackoverflow,1
2016-11,serverfault,5
2016-11,stackoverflow,90
2016-11,superuser,1
2016-11,unix,1
2016-12,askubuntu,4
2016-12,dba,14
2016-12,es.stackoverflow,5
2016-12,pt.stackoverflow,2
2016-12,ru.stackoverflow,2
2016-12,serverfault,12
2016-12,stackoverflow,109
2016-12,unix,3
2017-01,askubuntu,1
2017-01,dba,19
2017-01,es.stackoverflow,2
2017-01,gis,1
2017-01,ja.stackoverflow,1
2017-01,pt.stackoverflow,1
2017-01,ru.stackoverflow,2
2017-01,serverfault,7
2017-01,stackoverflow,99
2017-01,unix,1
2017-02,askubuntu,1
2017-02,dba,22
2017-02,es.stackoverflow,2
2017-02,serverfault,10
2017-02,stackoverflow,108
2017-03,askubuntu,3
2017-03,dba,14
2017-03,es.stackoverflow,1
2017-03,ja.stackoverflow,1
2017-03,pt.stackoverflow,4
2017-03,ru.stackoverflow,7
2017-03,serverfault,7
2017-03,stackoverflow,147
2017-03,unix,3
2017-04,askubuntu,2
2017-04,dba,14
2017-04,es.stackoverflow,7
2017-04,pt.stackoverflow,2
2017-04,ru.stackoverflow,3
2017-04,serverfault,7
2017-04,stackoverflow,122
2017-05,askubuntu,6
2017-05,dba,11
2017-05,es.stackoverflow,8
2017-05,ru.stackoverflow,2
2017-05,serverfault,7
2017-05,stackoverflow,130
2017-05,superuser,1
2017-06,askubuntu,6
2017-06,dba,14
2017-06,es.stackoverflow,6
2017-06,pt.stackoverflow,1
2017-06,ru.stackoverflow,5
2017-06,serverfault,1
2017-06,stackoverflow,109
2017-06,superuser,2
2017-06,unix,2
2017-07,askubuntu,2
2017-07,dba,17
2017-07,es.stackoverflow,3
2017-07,ja.stackoverflow,1
2017-07,pt.stackoverflow,3
2017-07,ru.stackoverflow,4
2017-07,serverfault,10
2017-07,stackoverflow,123
2017-07,superuser,1
2017-07,unix,2
2017-08,askubuntu,6
2017-08,dba,28
2017-08,es.stackoverflow,5
2017-08,ja.stackoverflow,1
2017-08,pt.stackoverflow,2
2017-08,ru.stackoverflow,5
2017-08,serverfault,3
2017-08,stackoverflow,157
2017-08,superuser,2
2017-08,unix,2
2017-09,askubuntu,1
2017-09,dba,18
2017-09,es.stackoverflow,10
2017-09,pt.stackoverflow,2
2017-09,ru.stackoverflow,2
2017-09,serverfault,3
2017-09,softwareengineering,1
2017-09,stackoverflow,116
2017-09,superuser,1
2017-10,askubuntu,1
2017-10,dba,13
2017-10,es.stackoverflow,3
2017-10,gis,1
2017-10,ru.stackoverflow,1
2017-10,security,1
2017-10,serverfault,4
2017-10,stackoverflow,122
2017-10,superuser,1
2017-11,askubuntu,2
2017-11,dba,21
2017-11,es.stackoverflow,6
2017-11,pt.stackoverflow,2
2017-11,ru.stackoverflow,1
2017-11,serverfault,7
2017-11,stackoverflow,162
2017-11,superuser,3
2017-11,unix,1
2017-12,askubuntu,1
2017-12,dba,19
2017-12,es.stackoverflow,1
2017-12,pt.stackoverflow,1
2017-12,ru.stackoverflow,3
2017-12,serverfault,10
2017-12,stackoverflow,123
2017-12,superuser,1
2017-12,unix,1
2018-01,askubuntu,2
2018-01,civicrm,1
2018-01,dba,33
2018-01,ja.stackoverflow,1
2018-01,pt.stackoverflow,5
2018-01,ru.stackoverflow,4
2018-01,serverfault,10
2018-01,stackoverflow,113
2018-01,superuser,2
2018-01,unix,1
2018-02,askubuntu,2
2018-02,dba,29
2018-02,es.stackoverflow,4
2018-02,pt.stackoverflow,1
2018-02,raspberrypi,1
2018-02,ru.stackoverflow,2
2018-02,serverfault,13
2018-02,softwareengineering,1
2018-02,stackoverflow,140
2018-02,superuser,1
2018-02,unix,3
2018-03,askubuntu,2
2018-03,civicrm,1
2018-03,dba,33
2018-03,es.stackoverflow,3
2018-03,pt.stackoverflow,1
2018-03,ru.stackoverflow,1
2018-03,serverfault,7
2018-03,stackoverflow,150
2018-03,unix,2
2018-04,askubuntu,2
2018-04,dba,24
2018-04,es.stackoverflow,7
2018-04,ja.stackoverflow,4
2018-04,pt.stackoverflow,3
2018-04,raspberrypi,1
2018-04,ru.stackoverflow,1
2018-04,security,2
2018-04,serverfault,5
2018-04,stackoverflow,149
2018-04,unix,1
2018-05,askubuntu,5
2018-05,dba,25
2018-05,es.stackoverflow,5
2018-05,ja.stackoverflow,1
2018-05,pt.stackoverflow,2
2018-05,raspberrypi,1
2018-05,ru.stackoverflow,3
2018-05,serverfault,8
2018-05,stackoverflow,167
2018-05,superuser,1
2018-05,unix,1
2018-06,askubuntu,1
2018-06,dba,33
2018-06,es.stackoverflow,2
2018-06,pt.stackoverflow,1
2018-06,raspberrypi,1
2018-06,ru.stackoverflow,3
2018-06,serverfault,8
2018-06,stackoverflow,130
2018-06,superuser,1
2018-06,unix,2
2018-07,askubuntu,1
2018-07,dba,25
2018-07,es.stackoverflow,2
2018-07,gis,1
2018-07,ja.stackoverflow,1
2018-07,pt.stackoverflow,3
2018-07,ru.stackoverflow,6
2018-07,security,1
2018-07,serverfault,4
2018-07,stackoverflow,166
2018-07,unix,3
2018-08,askubuntu,4
2018-08,dba,25
2018-08,es.stackoverflow,9
2018-08,ja.stackoverflow,1
2018-08,pt.stackoverflow,1
2018-08,ru.stackoverflow,2
2018-08,serverfault,10
2018-08,stackoverflow,149
2018-08,superuser,1
2018-09,askubuntu,1
2018-09,dba,18
2018-09,es.stackoverflow,6
2018-09,pt.stackoverflow,2
2018-09,raspberrypi,1
2018-09,ru.stackoverflow,4
2018-09,serverfault,8
2018-09,stackoverflow,142
2018-09,unix,1
2018-10,askubuntu,2
2018-10,dba,21
2018-10,es.stackoverflow,10
2018-10,ja.stackoverflow,1
2018-10,pt.stackoverflow,3
2018-10,serverfault,8
2018-10,stackoverflow,141
2018-10,unix,1
2018-11,askubuntu,2
2018-11,dba,30
2018-11,es.stackoverflow,13
2018-11,pt.stackoverflow,3
2018-11,ru.stackoverflow,5
2018-11,serverfault,7
2018-11,stackoverflow,173
2018-12,dba,20
2018-12,es.stackoverflow,5
2018-12,pt.stackoverflow,1
2018-12,ru.stackoverflow,2
2018-12,security,2
2018-12,serverfault,7
2018-12,stackoverflow,111
2018-12,superuser,1
2018-12,unix,3
2019-01,askubuntu,3
2019-01,dba,44
2019-01,es.stackoverflow,8
2019-01,ja.stackoverflow,1
2019-01,magento,1
2019-01,ru.stackoverflow,2
2019-01,security,1
2019-01,serverfault,9
2019-01,softwareengineering,1
2019-01,stackoverflow,158
2019-01,superuser,1
2019-01,unix,5
2019-02,askubuntu,1
2019-02,dba,31
2019-02,es.stackoverflow,3
2019-02,pt.stackoverflow,2
2019-02,ru.stackoverflow,7
2019-02,security,2
2019-02,serverfault,1
2019-02,stackoverflow,165
2019-02,superuser,4
2019-03,askubuntu,1
2019-03,dba,31
2019-03,es.stackoverflow,9
2019-03,magento,3
2019-03,pt.stackoverflow,2
2019-03,ru.stackoverflow,4
2019-03,serverfault,10
2019-03,stackoverflow,165
2019-03,superuser,3
2019-03,unix,1
2019-04,askubuntu,4
2019-04,dba,21
2019-04,es.stackoverflow,5
2019-04,gis,1
2019-04,pt.stackoverflow,3
2019-04,raspberrypi,1
2019-04,ru.stackoverflow,9
2019-04,serverfault,10
2019-04,softwareengineering,1
2019-04,stackoverflow,152
2019-04,superuser,9
2019-04,unix,2
2019-05,askubuntu,2
2019-05,dba,20
2019-05,es.stackoverflow,5
2019-05,pt.stackoverflow,5
2019-05,raspberrypi,1
2019-05,ru.stackoverflow,1
2019-05,serverfault,9
2019-05,softwarerecs,1
2019-05,stackoverflow,127
2019-05,superuser,7
2019-05,unix,4
2019-06,dba,31
2019-06,es.stackoverflow,5
2019-06,pt.stackoverflow,2
2019-06,ru.stackoverflow,2
2019-06,serverfault,3
2019-06,stackoverflow,145
2019-06,unix,2
2019-07,civicrm,2
2019-07,dba,31
2019-07,es.stackoverflow,5
2019-07,ja.stackoverflow,1
2019-07,pt.stackoverflow,5
2019-07,raspberrypi,2
2019-07,ru.stackoverflow,7
2019-07,serverfault,10
2019-07,stackoverflow,174
2019-07,superuser,3
2019-07,unix,2
2019-08,askubuntu,2
2019-08,dba,26
2019-08,es.stackoverflow,7
2019-08,ja.stackoverflow,1
2019-08,pt.stackoverflow,4
2019-08,ru.stackoverflow,3
2019-08,security,1
2019-08,serverfault,11
2019-08,stackoverflow,129
2019-08,superuser,6
2019-08,unix,1
2019-09,askubuntu,2
2019-09,dba,35
2019-09,es.stackoverflow,8
2019-09,ja.stackoverflow,1
2019-09,pt.stackoverflow,2
2019-09,ru.stackoverflow,5
2019-09,security,1
2019-09,serverfault,10
2019-09,softwarerecs,1
2019-09,stackoverflow,148
2019-09,superuser,6
2019-09,unix,1
2019-10,dba,21
2019-10,es.stackoverflow,3
2019-10,gis,1
2019-10,ru.stackoverflow,2
2019-10,serverfault,6
2019-10,stackoverflow,182
2019-10,superuser,1
2019-10,unix,3
2019-11,askubuntu,2
2019-11,dba,13
2019-11,es.stackoverflow,11
2019-11,magento,2
2019-11,pt.stackoverflow,1
2019-11,serverfault,8
2019-11,stackoverflow,168
2019-11,superuser,2
2019-11,unix,1
2019-12,askubuntu,4
2019-12,dba,30
2019-12,es.stackoverflow,3
2019-12,ru.stackoverflow,3
2019-12,serverfault,6
2019-12,stackoverflow,153
2019-12,superuser,2
2019-12,unix,5
2020-01,askubuntu,5
2020-01,dba,26
2020-01,es.stackoverflow,1
2020-01,magento,1
2020-01,raspberrypi,1
2020-01,ru.stackoverflow,4
2020-01,serverfault,11
2020-01,stackoverflow,189
2020-01,superuser,1
2020-01,unix,2
2020-02,dba,28
2020-02,es.stackoverflow,9
2020-02,pt.stackoverflow,1
2020-02,ru.stackoverflow,3
2020-02,serverfault,6
2020-02,stackoverflow,171
2020-02,unix,2
2020-03,askubuntu,2
2020-03,dba,26
2020-03,es.stackoverflow,3
2020-03,magento,1
2020-03,serverfault,8
2020-03,stackoverflow,161
2020-03,superuser,2
2020-03,unix,2
2020-04,askubuntu,4
2020-04,dba,36
2020-04,es.stackoverflow,4
2020-04,pt.stackoverflow,1
2020-04,ru.stackoverflow,4
2020-04,serverfault,16
2020-04,stackoverflow,177
2020-04,superuser,1
2020-05,askubuntu,3
2020-05,dba,27
2020-05,es.stackoverflow,11
2020-05,gis,1
2020-05,magento,1
2020-05,raspberrypi,2
2020-05,ru.stackoverflow,4
2020-05,serverfault,11
2020-05,stackoverflow,202
2020-05,unix,1
2020-06,askubuntu,3
2020-06,dba,37
2020-06,es.stackoverflow,6
2020-06,ja.stackoverflow,1
2020-06,pt.stackoverflow,1
2020-06,ru.stackoverflow,6
2020-06,serverfault,8
2020-06,softwarerecs,1
2020-06,stackoverflow,196
2020-06,superuser,1
2020-06,unix,2
2020-07,askubuntu,2
2020-07,dba,20
2020-07,es.stackoverflow,4
2020-07,gis,1
2020-07,magento,2
2020-07,pt.stackoverflow,1
2020-07,ru.stackoverflow,5
2020-07,security,2
2020-07,serverfault,4
2020-07,softwareengineering,1
2020-07,stackoverflow,163
2020-07,unix,3
2020-08,askubuntu,1
2020-08,dba,23
2020-08,es.stackoverflow,3
2020-08,ja.stackoverflow,1
2020-08,magento,2
2020-08,ru.stackoverflow,2
2020-08,security,1
2020-08,serverfault,9
2020-08,stackoverflow,163
2020-08,unix,2
2020-09,askubuntu,1
2020-09,dba,14
2020-09,es.stackoverflow,7
2020-09,magento,2
2020-09,pt.stackoverflow,1
2020-09,ru.stackoverflow,8
2020-09,serverfault,11
2020-09,stackoverflow,165
2020-09,superuser,3
2020-09,unix,3
2020-10,askubuntu,2
2020-10,dba,9
2020-10,es.stackoverflow,9
2020-10,ja.stackoverflow,1
2020-10,pt.stackoverflow,1
2020-10,raspberrypi,1
2020-10,ru.stackoverflow,3
2020-10,serverfault,6
2020-10,softwareengineering,1
2020-10,stackoverflow,135
2020-10,unix,1
2020-11,askubuntu,5
2020-11,civicrm,1
2020-11,dba,22
2020-11,es.stackoverflow,6
2020-11,gis,1
2020-11,ja.stackoverflow,1
2020-11,ru.stackoverflow,6
2020-11,serverfault,12
2020-11,softwarerecs,1
2020-11,stackoverflow,158
2020-12,askubuntu,5
2020-12,dba,34
2020-12,es.stackoverflow,4
2020-12,ja.stackoverflow,1
2020-12,pt.stackoverflow,1
2020-12,ru.stackoverflow,5
2020-12,serverfault,9
2020-12,stackoverflow,137
2020-12,superuser,1
2021-01,askubuntu,6
2021-01,dba,43
2021-01,es.stackoverflow,6
2021-01,ja.stackoverflow,1
2021-01,pt.stackoverflow,5
2021-01,ru.stackoverflow,2
2021-01,serverfault,10
2021-01,stackoverflow,161
2021-01,unix,1
2021-02,askubuntu,2
2021-02,dba,24
2021-02,es.stackoverflow,4
2021-02,pt.stackoverflow,1
2021-02,ru.stackoverflow,3
2021-02,security,2
2021-02,serverfault,9
2021-02,stackoverflow,168
2021-02,unix,1
2021-03,askubuntu,4
2021-03,craftcms,1
2021-03,dba,34
2021-03,es.stackoverflow,7
2021-03,pt.stackoverflow,1
2021-03,ru.stackoverflow,3
2021-03,serverfault,2
2021-03,stackoverflow,155
2021-03,superuser,1
2021-03,unix,3
2021-04,civicrm,1
2021-04,dba,23
2021-04,es.stackoverflow,8
2021-04,magento,2
2021-04,pt.stackoverflow,2
2021-04,ru.stackoverflow,5
2021-04,serverfault,6
2021-04,stackoverflow,159
2021-04,unix,2
2021-05,askubuntu,3
2021-05,civicrm,1
2021-05,dba,34
2021-05,es.stackoverflow,5
2021-05,gis,1
2021-05,pt.stackoverflow,1
2021-05,serverfault,4
2021-05,stackoverflow,154
2021-05,unix,1
2021-06,craftcms,1
2021-06,dba,24
2021-06,es.stackoverflow,6
2021-06,ja.stackoverflow,1
2021-06,magento,1
2021-06,serverfault,4
2021-06,softwareengineering,1
2021-06,stackoverflow,136
2021-07,askubuntu,1
2021-07,dba,23
2021-07,es.stackoverflow,2
2021-07,ja.stackoverflow,1
2021-07,pt.stackoverflow,1
2021-07,ru.stackoverflow,5
2021-07,serverfault,4
2021-07,stackoverflow,149
2021-08,askubuntu,4
2021-08,dba,20
2021-08,es.stackoverflow,5
2021-08,pt.stackoverflow,1
2021-08,ru.stackoverflow,2
2021-08,security,1
2021-08,serverfault,8
2021-08,stackoverflow,137
2021-08,unix,1
2021-09,askubuntu,3
2021-09,dba,31
2021-09,es.stackoverflow,6
2021-09,gis,1
2021-09,ru.stackoverflow,5
2021-09,serverfault,3
2021-09,stackoverflow,162
2021-09,superuser,1
2021-10,askubuntu,1
2021-10,dba,19
2021-10,es.stackoverflow,10
2021-10,pt.stackoverflow,1
2021-10,ru.stackoverflow,1
2021-10,serverfault,3
2021-10,stackoverflow,124
2021-10,superuser,1
2021-10,unix,2
2021-11,dba,21
2021-11,es.stackoverflow,10
2021-11,ru.stackoverflow,2
2021-11,serverfault,5
2021-11,stackoverflow,156
2021-11,unix,7
2021-12,askubuntu,3
2021-12,civicrm,1
2021-12,dba,27
2021-12,es.stackoverflow,9
2021-12,ru.stackoverflow,1
2021-12,security,1
2021-12,serverfault,3
2021-12,stackoverflow,140
2022-01,askubuntu,1
2022-01,dba,30
2022-01,es.stackoverflow,4
2022-01,pt.stackoverflow,1
2022-01,raspberrypi,2
2022-01,ru.stackoverflow,1
2022-01,serverfault,3
2022-01,stackoverflow,159
2022-02,askubuntu,3
2022-02,dba,24
2022-02,es.stackoverflow,8
2022-02,gis,1
2022-02,magento,2
2022-02,pt.stackoverflow,1
2022-02,ru.stackoverflow,2
2022-02,serverfault,8
2022-02,stackoverflow,124
2022-03,dba,19
2022-03,es.stackoverflow,7
2022-03,gis,2
2022-03,ja.stackoverflow,1
2022-03,pt.stackoverflow,1
2022-03,ru.stackoverflow,4
2022-03,serverfault,7
2022-03,stackoverflow,154
2022-03,superuser,3
2022-04,askubuntu,3
2022-04,dba,23
2022-04,es.stackoverflow,6
2022-04,gis,2
2022-04,ja.stackoverflow,1
2022-04,pt.stackoverflow,1
2022-04,raspberrypi,1
2022-04,ru.stackoverflow,2
2022-04,serverfault,5
2022-04,stackoverflow,129
2022-04,unix,3
2022-05,askubuntu,2
2022-05,craftcms,1
2022-05,dba,21
2022-05,es.stackoverflow,15
2022-05,magento,1
2022-05,ru.stackoverflow,2
2022-05,serverfault,7
2022-05,stackoverflow,151
2022-05,unix,1
2022-06,askubuntu,1
2022-06,craftcms,1
2022-06,dba,22
2022-06,es.stackoverflow,5
2022-06,pt.stackoverflow,1
2022-06,ru.stackoverflow,3
2022-06,serverfault,7
2022-06,stackoverflow,149
2022-07,askubuntu,1
2022-07,civicrm,1
2022-07,dba,23
2022-07,es.stackoverflow,6
2022-07,pt.stackoverflow,1
2022-07,ru.stackoverflow,7
2022-07,serverfault,3
2022-07,stackoverflow,131
2022-07,superuser,1
2022-08,askubuntu,2
2022-08,dba,24
2022-08,es.stackoverflow,4
2022-08,ja.stackoverflow,1
2022-08,ru.stackoverflow,2
2022-08,serverfault,2
2022-08,softwareengineering,1
2022-08,stackoverflow,129
2022-08,superuser,1
2022-09,askubuntu,1
2022-09,dba,24
2022-09,es.stackoverflow,2
2022-09,ru.stackoverflow,2
2022-09,serverfault,3
2022-09,stackoverflow,134
2022-09,superuser,1
2022-09,unix,2
2022-10,askubuntu,2
2022-10,dba,26
2022-10,es.stackoverflow,2
2022-10,ru.stackoverflow,7
2022-10,serverfault,11
2022-10,stackoverflow,126
2022-10,superuser,2
2022-10,unix,3
2022-11,askubuntu,2
2022-11,dba,30
2022-11,es.stackoverflow,7
2022-11,pt.stackoverflow,1
2022-11,raspberrypi,1
2022-11,ru.stackoverflow,4
2022-11,serverfault,9
2022-11,stackoverflow,139
2022-11,superuser,2
2022-11,unix,1
2022-12,askubuntu,2
2022-12,dba,32
2022-12,es.stackoverflow,5
2022-12,ja.stackoverflow,1
2022-12,ru.stackoverflow,3
2022-12,serverfault,7
2022-12,stackoverflow,127
2023-01,askubuntu,1
2023-01,civicrm,2
2023-01,dba,37
2023-01,es.stackoverflow,7
2023-01,ru.stackoverflow,2
2023-01,stackoverflow,151
2023-01,superuser,2
2023-01,unix,1
2023-02,askubuntu,1
2023-02,dba,31
2023-02,es.stackoverflow,4
2023-02,gis,1
2023-02,magento,1
2023-02,ru.stackoverflow,1
2023-02,serverfault,5
2023-02,softwarerecs,1
2023-02,stackoverflow,100
2023-02,superuser,1
2023-02,unix,1
2023-03,askubuntu,3
2023-03,dba,23
2023-03,es.stackoverflow,3
2023-03,magento,1
2023-03,pt.stackoverflow,1
2023-03,raspberrypi,1
2023-03,ru.stackoverflow,1
2023-03,serverfault,9
2023-03,stackoverflow,122
2023-03,superuser,1
2023-04,askubuntu,3
2023-04,dba,30
2023-04,es.stackoverflow,7
2023-04,ru.stackoverflow,1
2023-04,serverfault,6
2023-04,stackoverflow,105
2023-04,superuser,1
2023-05,dba,22
2023-05,es.stackoverflow,3
2023-05,ru.stackoverflow,3
2023-05,serverfault,3
2023-05,stackoverflow,84
2023-06,dba,25
2023-06,es.stackoverflow,3
2023-06,ja.stackoverflow,1
2023-06,magento,1
2023-06,serverfault,12
2023-06,stackoverflow,76
2023-06,unix,1
2023-07,askubuntu,2
2023-07,dba,18
2023-07,es.stackoverflow,2
2023-07,ja.stackoverflow,2
2023-07,ru.stackoverflow,1
2023-07,serverfault,5
2023-07,stackoverflow,76
2023-07,unix,3
2023-08,dba,20
2023-08,es.stackoverflow,1
2023-08,ru.stackoverflow,2
2023-08,serverfault,6
2023-08,stackoverflow,65
2023-08,superuser,1
2023-09,dba,19
2023-09,es.stackoverflow,2
2023-09,ja.stackoverflow,2
2023-09,ru.stackoverflow,2
2023-09,security,1
2023-09,serverfault,5
2023-09,stackoverflow,74
2023-09,unix,2
2023-10,askubuntu,1
2023-10,civicrm,1
2023-10,dba,15
2023-10,es.stackoverflow,1
2023-10,raspberrypi,1
2023-10,serverfault,9
2023-10,stackoverflow,68
2023-10,superuser,1
2023-10,unix,3
2023-11,askubuntu,3
2023-11,dba,26
2023-11,es.stackoverflow,3
2023-11,magento,1
2023-11,ru.stackoverflow,1
2023-11,serverfault,5
2023-11,stackoverflow,72
2023-12,dba,16
2023-12,es.stackoverflow,1
2023-12,magento,1
