PR-number,labels,created_date,creator_username,status,PR-title,PR-URL
3831,MariaDB Corporation,2025-02-12T04:58:14Z,Thirunarayanan,open,MDEV-35689 InnoDB system tables cannot be optimized or defragmented,https://github.com/MariaDB/server/pull/3831
3830,External Contribution,2025-02-11T22:34:16Z,bardiaHSZD,open,MDEV-9473 Enhance Soundex Functionality to Properly Handle Multi-word Inputs,https://github.com/MariaDB/server/pull/3830
3829,External Contribution,2025-02-11T22:26:13Z,gengtianuiowa,open,MDEV-11341 STR_TO_DATE does not return NULL for invalid dates,https://github.com/MariaDB/server/pull/3829
3828,External Contribution,2025-02-11T22:25:09Z,akshatnehra,closed,MDEV-4151 Mixed MySQL/MariaDB references in RPM upgrade error message,https://github.com/MariaDB/server/pull/3828
3827,Codership,2025-02-11T12:11:54Z,janlindstrom,closed,MDEV-34891 : SST failure occurs when gtid_strict_mode is enabled,https://github.com/MariaDB/server/pull/3827
3826,MariaDB Corporation,2025-02-10T14:36:12Z,dr-m,open,10.11 MDEV-29445 reorganise innodb buffer pool (and remove buffer pool chunks),https://github.com/MariaDB/server/pull/3826
3825,MariaDB Foundation,2025-02-10T11:02:02Z,iangilfillan,closed,Update mariadb-import man page with --innodb-optimize-keys option,https://github.com/MariaDB/server/pull/3825
3824,MariaDB Foundation,2025-02-10T03:03:20Z,grooverdan,closed,MDEV-35049: Use CRC-32C and avoid allocating heap (postfix),https://github.com/MariaDB/server/pull/3824
3823,MariaDB Foundation,2025-02-07T12:28:20Z,knielsen,open,MDEV-24948: thd_need_wait_reports() hurts performance,https://github.com/MariaDB/server/pull/3823
3822,MariaDB Foundation,2025-02-07T11:19:45Z,svoj,open,MDEV-35152 - DATA/INDEX DIRECTORY options are ignored for vector index,https://github.com/MariaDB/server/pull/3822
3821,MariaDB Corporation,2025-02-07T09:45:09Z,dr-m,closed,MDEV-36038 ALTER TABLE…SEQUENCE does not work correctly with InnoDB,https://github.com/MariaDB/server/pull/3821
3820,MariaDB Corporation,2025-02-06T21:13:16Z,vaintroub,closed,MDEV-14091 Support password protected SSL key in server.,https://github.com/MariaDB/server/pull/3820
3819,MariaDB Corporation,2025-02-06T15:22:44Z,dr-m,open,MDEV-29445: Reimplement SET GLOBAL innodb_buffer_pool_size,https://github.com/MariaDB/server/pull/3819
3818,MariaDB Corporation,2025-02-04T19:15:56Z,DaveGosselin-MariaDB,open,MDEV-35721 UBSAN: runtime error: -nan outside range,https://github.com/MariaDB/server/pull/3818
3817,MariaDB Corporation,2025-02-04T15:21:36Z,DaveGosselin-MariaDB,open,MDEV-22104 Assertion `m_psi_batch_mode == PSI_BATCH_MODE_NONE' failed,https://github.com/MariaDB/server/pull/3817
3816,,2025-02-04T13:21:46Z,rsaldi151012,closed,MDEV-5751 - Draft Changes for Insert Dupl Ignore Replace,https://github.com/MariaDB/server/pull/3816
3815,MariaDB Corporation,2025-02-04T08:52:49Z,dr-m,closed,MDEV-36015: unrepresentable value in row_parse_int(),https://github.com/MariaDB/server/pull/3815
